Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2000","2000","1000 I$","","O","Missing value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2001","2001","1000 I$","8","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2002","2002","1000 I$","5.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2003","2003","1000 I$","3.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2004","2004","1000 I$","6.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2005","2005","1000 I$","6.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2006","2006","1000 I$","4.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2007","2007","1000 I$","4.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2008","2008","1000 I$","5.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2009","2009","1000 I$","5.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2010","2010","1000 I$","5.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2011","2011","1000 I$","4.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2012","2012","1000 I$","5.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2013","2013","1000 I$","2.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2014","2014","1000 I$","2.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2015","2015","1000 I$","2.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2016","2016","1000 I$","3.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2017","2017","1000 I$","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2018","2018","1000 I$","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2019","2019","1000 I$","3.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2020","2020","1000 I$","","O","Missing value",""
"FS","Suite of Food Security Indicators","351","China","6127","Value","21030","Per capita food production variability (constant 2014-2016 thousand int$ per capita)","2021","2021","1000 I$","","O","Missing value",""
